manufacturer,year,model,total_range_in_mls,electric_consumption,electric_storage,analogue_consumption,analogue_storage,emission_value,min_price,max_price,car_type
Chevrolet,2020,Equinox FWD,392,0,0.0,28,14.9,315,23800.0,34100.0,Regular Gasoline
Chevrolet,2019,Trax,370,0,0.0,28,14.0,316,21300.0,27600.0,Regular Gasoline
Chevrolet,2021,Trax FWD,370,0,0.0,28,14.0,316,21400.0,23200.0,Regular Gasoline
Chevrolet,2020,Trax FWD,370,0,0.0,28,14.0,316,21300.0,27600.0,Regular Gasoline
Chevrolet,2023,Trailblazer AWD,356,0,0.0,28,13.2,320,24100.0,27700.0,Regular Gasoline
Chevrolet,2022,Trailblazer AWD,421,0,0.0,28,13.2,313,23600.0,27200.0,Regular Gasoline
Chevrolet,2021,Trailblazer AWD,421,0,0.0,28,13.2,314,23500.0,26900.0,Regular Gasoline
Chevrolet,2024,Trailblazer AWD,421,0,0.0,27,13.2,329,25100.0,28700.0,Regular Gasoline
Chevrolet,2022,Equinox AWD,421,0,0.0,27,15.6,327,27400.0,32600.0,Regular Gasoline
Chevrolet,2021,Equinox AWD,378,0,0.0,27,15.6,330,27900.0,33000.0,Regular Gasoline
Chevrolet,2020,Equinox AWD,378,0,0.0,27,15.6,324,27900.0,35700.0,Regular Gasoline
Chevrolet,2019,Equinox AWD,648,0,0.0,27,15.6,334,27600.0,35700.0,Regular Gasoline
Chevrolet,2022,Trax FWD,648,0,0.0,27,14.0,329,21400.0,23200.0,Regular Gasoline
Chevrolet,2021,Trax FWD,406,0,0.0,27,14.0,325,21400.0,23200.0,Regular Gasoline
Chevrolet,2021,Silverado 2WD,406,0,0.0,27,24.0,383,29300.0,53900.0,Diesel
Chevrolet,2020,Silverado 2WD,624,0,0.0,27,24.0,383,28300.0,53300.0,Diesel
Chevrolet,2024,Equinox AWD,364,0,0.0,26,15.6,339,28200.0,33400.0,Regular Gasoline
Chevrolet,2023,Equinox AWD,364,0,0.0,26,15.6,340,28200.0,33400.0,Regular Gasoline
Chevrolet,2023,Silverado 2WD,364,0,0.0,26,24.0,396,36300.0,62100.0,Diesel
