emission_value,min_price,max_price,car_type
404,35100.0,42800.0,Regular Gasoline
405,33400.0,41100.0,Regular Gasoline
411,35400.0,42800.0,Regular Gasoline
413,25200.0,34800.0,Regular Gasoline
413,25200.0,33800.0,Regular Gasoline
407,30900.0,78100.0,Regular Gasoline
407,26400.0,73300.0,Regular Gasoline
404,,,Regular Gasoline
404,25000.0,69000.0,Regular Gasoline
411,31620.0,36720.0,Regular Gasoline
409,28020.0,36720.0,Regular Gasoline
423,29300.0,53900.0,Regular Gasoline
421,29300.0,53900.0,Regular Gasoline
421,28300.0,53300.0,Regular Gasoline
421,32200.0,53300.0,Regular Gasoline
479,,,Diesel
484,69900.0,69900.0,Diesel
417,37800.0,45700.0,Regular Gasoline
417,36100.0,44000.0,Regular Gasoline
413,35400.0,44900.0,Regular Gasoline
414,28800.0,42700.0,Regular Gasoline
420,29500.0,31900.0,Regular Gasoline
431,29100.0,38600.0,Regular Gasoline
431,29100.0,37600.0,Regular Gasoline
428,28700.0,37700.0,Regular Gasoline
429,28700.0,37300.0,Regular Gasoline
427,32500.0,39900.0,Regular Gasoline
417,34520.0,52000.0,Regular Gasoline
417,33700.0,51200.0,Regular Gasoline
420,29800.0,50900.0,Regular Gasoline
420,29800.0,50900.0,Regular Gasoline
420,29930.0,45500.0,Regular Gasoline
422,38100.0,45700.0,Regular Gasoline
433,34520.0,52000.0,Regular Gasoline
433,34800.0,45600.0,Regular Gasoline
426,36000.0,45600.0,Regular Gasoline
424,25200.0,34800.0,Regular Gasoline
424,25200.0,33800.0,Regular Gasoline
446,36300.0,62100.0,Regular Gasoline
441,34600.0,59800.0,Regular Gasoline
441,34600.0,59800.0,Regular Gasoline
422,28300.0,53300.0,Regular Gasoline
442,33900.0,57700.0,Regular Gasoline
443,33900.0,57700.0,Regular Gasoline
442,35500.0,56800.0,Regular Gasoline
442,35500.0,56800.0,Regular Gasoline
442,32200.0,53300.0,Regular Gasoline
442,35500.0,56600.0,Regular Gasoline
453,36300.0,62100.0,Regular Gasoline
440,21300.0,33900.0,Regular Gasoline
440,20600.0,34000.0,Regular Gasoline
446,29200.0,31600.0,Regular Gasoline
446,32800.0,40200.0,Regular Gasoline
447,32800.0,40200.0,Regular Gasoline
453,36800.0,62700.0,Regular Gasoline
448,36520.0,54200.0,Regular Gasoline
448,35700.0,53400.0,Regular Gasoline
439,34900.0,53100.0,Regular Gasoline
442,34900.0,53200.0,Regular Gasoline
438,34900.0,53200.0,Regular Gasoline
450,36520.0,54200.0,Regular Gasoline
448,28300.0,53300.0,Regular Gasoline
451,,,Premium Gasoline
445,25000.0,68000.0,Regular Gasoline
450,25000.0,68000.0,Premium Gasoline
451,30900.0,78100.0,Regular Gasoline
452,30900.0,78100.0,Premium Gasoline
453,26400.0,73300.0,Regular Gasoline
453,26400.0,73300.0,Premium Gasoline
452,,,Regular Gasoline
452,25000.0,69000.0,Premium Gasoline
453,25000.0,69000.0,Regular Gasoline
452,25000.0,69000.0,Premium Gasoline
451,,,Regular Gasoline
525,42600.0,44200.0,Diesel
525,41600.0,43200.0,Diesel
525,41400.0,43000.0,Diesel
524,41300.0,42900.0,Diesel
468,41400.0,66500.0,Regular Gasoline
462,40900.0,65900.0,Regular Gasoline
459,40900.0,65900.0,Regular Gasoline
464,35500.0,56600.0,Regular Gasoline
465,29100.0,38600.0,Regular Gasoline
465,29100.0,37600.0,Regular Gasoline
461,28700.0,37700.0,Regular Gasoline
461,28700.0,37300.0,Regular Gasoline
456,32200.0,53300.0,Regular Gasoline
460,29300.0,53900.0,Regular Gasoline
460,28300.0,53300.0,Regular Gasoline
467,32200.0,53300.0,Regular Gasoline
467,32500.0,39900.0,Regular Gasoline
470,36800.0,62700.0,Regular Gasoline
478,36300.0,62100.0,Regular Gasoline
478,36300.0,62100.0,Regular Gasoline
472,68300.0,87050.0,Premium Gasoline
465,55900.0,135400.0,Premium Gasoline
477,30900.0,78100.0,Premium Gasoline
477,26400.0,73300.0,Premium Gasoline
477,,,Premium Gasoline
477,25000.0,69000.0,Premium Gasoline
477,,,Premium Gasoline
477,25000.0,68000.0,Premium Gasoline
480,71800.0,126150.0,Regular Gasoline
478,60900.0,79850.0,Premium Gasoline
480,102900.0,120850.0,Premium Gasoline
481,33900.0,57700.0,Regular Gasoline
477,35500.0,56800.0,Regular Gasoline
467,58900.0,77850.0,Premium Gasoline
467,58900.0,77850.0,Premium Gasoline
494,,,Regular Gasoline
486,39200.0,63600.0,Regular Gasoline
489,39200.0,63600.0,Regular Gasoline
494,37000.0,37000.0,Regular Gasoline
506,41400.0,66500.0,Regular Gasoline
489,36800.0,62700.0,Regular Gasoline
482,33900.0,57700.0,Regular Gasoline
494,35500.0,56800.0,Regular Gasoline
491,35500.0,56600.0,Regular Gasoline
490,36800.0,62700.0,Regular Gasoline
505,34600.0,59800.0,Regular Gasoline
502,34600.0,59800.0,Regular Gasoline
489,34600.0,59800.0,Regular Gasoline
484,34600.0,59800.0,Regular Gasoline
493,33900.0,57700.0,Premium Gasoline
494,48900.0,51800.0,Regular Gasoline
486,39500.0,48800.0,Regular Gasoline
494,39500.0,48800.0,Regular Gasoline
496,36800.0,62700.0,Regular Gasoline
496,36300.0,62100.0,Regular Gasoline
500,36300.0,62100.0,Regular Gasoline
506,39200.0,63600.0,Regular Gasoline
492,51700.0,72300.0,Regular Gasoline
492,49000.0,69600.0,Regular Gasoline
496,52000.0,72600.0,Regular Gasoline
490,55900.0,135400.0,Premium Gasoline
505,53800.0,65500.0,Regular Gasoline
505,53800.0,65500.0,Regular Gasoline
505,50800.0,65500.0,Regular Gasoline
505,50800.0,65500.0,Regular Gasoline
505,48000.0,62700.0,Regular Gasoline
505,48000.0,62700.0,Regular Gasoline
505,48000.0,62700.0,Regular Gasoline
505,48000.0,62700.0,Regular Gasoline
506,33900.0,57700.0,Regular Gasoline
512,,,Regular Gasoline
527,46800.0,46800.0,Regular Gasoline
523,29300.0,53900.0,Regular Gasoline
523,28300.0,53300.0,Regular Gasoline
509,32200.0,53300.0,Regular Gasoline
523,40900.0,65900.0,Regular Gasoline
522,40900.0,65900.0,Regular Gasoline
513,40900.0,65900.0,Premium Gasoline
516,35500.0,56800.0,Premium Gasoline
516,35500.0,56600.0,Premium Gasoline
529,42600.0,44200.0,Regular Gasoline
510,41600.0,43200.0,Regular Gasoline
532,41400.0,43000.0,Regular Gasoline
532,41300.0,42900.0,Regular Gasoline
522,,,Regular Gasoline
534,,,Regular Gasoline
512,55495.0,132900.0,Premium Gasoline
513,29300.0,53900.0,Regular Gasoline
510,34500.0,39200.0,Regular Gasoline
523,29300.0,53900.0,Regular Gasoline
524,28300.0,53300.0,Regular Gasoline
523,48900.0,51800.0,Regular Gasoline
524,32200.0,53300.0,Regular Gasoline
516,38400.0,44000.0,Regular Gasoline
525,51000.0,65700.0,Regular Gasoline
513,51000.0,65700.0,Regular Gasoline
513,51000.0,65700.0,Regular Gasoline
513,51000.0,65700.0,Regular Gasoline
527,41400.0,66500.0,Premium Gasoline
517,41400.0,66500.0,Regular Gasoline
522,39200.0,63600.0,Regular Gasoline
529,39200.0,63600.0,Premium Gasoline
521,39200.0,63600.0,Regular Gasoline
530,33900.0,57700.0,Regular Gasoline
533,33900.0,57700.0,Regular Gasoline
522,33900.0,57700.0,Premium Gasoline
525,35500.0,56800.0,Regular Gasoline
532,35500.0,56800.0,Regular Gasoline
529,32200.0,53300.0,Regular Gasoline
517,35500.0,56600.0,Regular Gasoline
530,35500.0,56600.0,Regular Gasoline
508,39500.0,48600.0,Regular Gasoline
527,59200.0,79900.0,Regular Gasoline
527,56900.0,77100.0,Regular Gasoline
534,52400.0,72700.0,Regular Gasoline
527,52400.0,72700.0,Regular Gasoline
525,51700.0,72300.0,Premium Gasoline
523,51700.0,72300.0,Regular Gasoline
527,56200.0,76900.0,Regular Gasoline
527,54200.0,74400.0,Regular Gasoline
534,49700.0,70000.0,Regular Gasoline
527,49700.0,70000.0,Regular Gasoline
