manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2024,Trax,354,298,20400.0,23900.0,Regular Gasoline,0,0,30,0,Find.do?action=sbs&id=46450
Chevrolet,2023,Malibu,354,292,25000.0,31500.0,Regular Gasoline,0,0,30,15.8,Find.do?action=sbs&id=45903
Chevrolet,2021,Trailblazer FWD,354,302,19000.0,25400.0,Regular Gasoline,0,0,29,13.2,Find.do?action=sbs&id=42523
Chevrolet,2019,Sonic 5,354,301,18020.0,21520.0,Regular Gasoline,0,0,29,12.2,Find.do?action=sbs&id=40727
Chevrolet,2020,Sonic,354,308,16720.0,20720.0,Regular Gasoline,0,0,29,12.2,Find.do?action=sbs&id=41531
Chevrolet,2019,Sonic,417,308,15420.0,20720.0,Regular Gasoline,0,0,29,12.2,Find.do?action=sbs&id=40691
Chevrolet,2020,Sonic 5,417,308,19420.0,21520.0,Regular Gasoline,0,0,29,12.2,Find.do?action=sbs&id=41538
Chevrolet,2019,Sonic 5,417,308,18020.0,21520.0,Regular Gasoline,0,0,29,12.2,Find.do?action=sbs&id=40726
Chevrolet,2019,Equinox FWD,417,315,23800.0,33900.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=40267
Chevrolet,2024,Equinox FWD,417,310,26600.0,31800.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=46591
Chevrolet,2023,Equinox FWD,417,317,26600.0,31800.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=45823
Chevrolet,2022,Equinox FWD,392,318,25800.0,31000.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=43985
Chevrolet,2021,Equinox FWD,392,318,23800.0,31400.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=43200
Chevrolet,2020,Equinox FWD,392,315,23800.0,34100.0,Regular Gasoline,0,0,28,14.9,Find.do?action=sbs&id=41499
Chevrolet,2019,Trax,370,316,21300.0,27600.0,Regular Gasoline,0,0,28,14.0,Find.do?action=sbs&id=40739
Chevrolet,2021,Trax FWD,370,316,21400.0,23200.0,Regular Gasoline,0,0,28,14.0,Find.do?action=sbs&id=42638
Chevrolet,2020,Trax FWD,370,316,21300.0,27600.0,Regular Gasoline,0,0,28,14.0,Find.do?action=sbs&id=41519
Chevrolet,2023,Trailblazer AWD,356,320,24100.0,27700.0,Regular Gasoline,0,0,28,13.2,Find.do?action=sbs&id=45311
Chevrolet,2022,Trailblazer AWD,421,313,23600.0,27200.0,Regular Gasoline,0,0,28,13.2,Find.do?action=sbs&id=43860
Chevrolet,2021,Trailblazer AWD,421,314,23500.0,26900.0,Regular Gasoline,0,0,28,13.2,Find.do?action=sbs&id=42509
Chevrolet,2024,Trailblazer AWD,421,329,25100.0,28700.0,Regular Gasoline,0,0,27,13.2,Find.do?action=sbs&id=46710
Chevrolet,2022,Equinox AWD,421,327,27400.0,32600.0,Regular Gasoline,0,0,27,15.6,Find.do?action=sbs&id=43989
Chevrolet,2021,Equinox AWD,378,330,27900.0,33000.0,Regular Gasoline,0,0,27,15.6,Find.do?action=sbs&id=43397
Chevrolet,2020,Equinox AWD,378,324,27900.0,35700.0,Regular Gasoline,0,0,27,15.6,Find.do?action=sbs&id=41504
Chevrolet,2019,Equinox AWD,648,334,27600.0,35700.0,Regular Gasoline,0,0,27,15.6,Find.do?action=sbs&id=40279
Chevrolet,2022,Trax FWD,648,329,21400.0,23200.0,Regular Gasoline,0,0,27,14.0,Find.do?action=sbs&id=43811
Chevrolet,2021,Trax FWD,406,325,21400.0,23200.0,Regular Gasoline,0,0,27,14.0,Find.do?action=sbs&id=43575
Chevrolet,2021,Silverado 2WD,406,383,29300.0,53900.0,Unknown,0,0,27,24.0,Find.do?action=sbs&id=43091
Chevrolet,2020,Silverado 2WD,624,383,28300.0,53300.0,Unknown,0,0,27,24.0,Find.do?action=sbs&id=41821
Chevrolet,2024,Equinox AWD,364,339,28200.0,33400.0,Regular Gasoline,0,0,26,15.6,Find.do?action=sbs&id=46597
